Access to formal-informal education services for children from displaced hhs,Location of formal informal education facilities services for children from displaced hhs,Distance to nearest education facility,Children at the site attending school,Sufficient learning,Trained moe teachers in this community,Reason 1,Reason 2,Reason 3,Enough teachers,Females not attending,Males not attending,Are there any people in this community skilled and willing to volunteer for education,If there were any community-led education activities would the children in your community attend,Hh,Ind,Location type,Site accessibility,Site safe area,State,LGA,Ward,Most common type of shelter,Living outside,Living emergency shelter,Living makeshift shelter,Living indoors,Security is provided on-site,Security incidents are reported in the site,Who provides the main security in the site,Most prevalent health problem,Access to health facility,Screening for malnutrition conducted on site muac,Supplementary feeding
Yes,On-site,<1km,25%-50%,Classrooms not crowded,No,Lack of teachers,Fear of violence,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of facilities separated by sex lack of food at home and school,They are working safety concerns,Yes,Yes,84,504,IDPs,Yes,Yes,Adamawa,Demsa,Bille,Transitional shelter,,,,<25%,No,Yes,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Lack of teachers,Fear of violence,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of facilities separated by sex they are working,They are working lack of food at home and school,Yes,Yes,36,216,IDPs,Yes,Yes,Adamawa,Demsa,Bille,Communal shelter,,,<25%,<25%,No,No,,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school they are working,Safety concerns lack of facilities separated by sex,Yes,Yes,67,402,Returns,Yes,Yes,Adamawa,Demsa,Bille,Communal shelter,,<25%,25%-50%,,Yes,Yes,Self organized,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Violence/Risks at the school or to/From the school,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of documentation they are working,They are working safety concerns,Yes,Yes,42,252,IDPs,Yes,Yes,Adamawa,Demsa,Borrong,Communal shelter,,25%-50%,<25%,,No,Yes,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Lack of teachers,Lack of school supplies,Fear of violence,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of food at home and school they are working,Lack of documentation safety concerns,Yes,Yes,359,2154,IDPs,Yes,Yes,Adamawa,Demsa,Borrong,Communal shelter,,,<25%,,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Lack of school supplies,Fear of violence,Lack of teachers,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school lack of facilities separated by sex,They are working safety concerns,Yes,Yes,385,2310,IDPs,Yes,Yes,Adamawa,Demsa,Borrong,Communal shelter,,25%-50%,<25%,<25%,Yes,Yes,Police,Diarrhea,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Lack of teachers,Fear of violence,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of documentation they are working,Lack of documentation they are working,Yes,Yes,38,228,IDPs,Yes,Yes,Adamawa,Demsa,Borrong,Communal shelter,,25%-50%,<25%,,No,No,,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school they are working,Safety concerns lack of food at home and school,Yes,Yes,206,1236,Returns,Yes,Yes,Adamawa,Demsa,Borrong,Communal shelter,,<25%,25%-50%,25%-50%,Yes,Yes,Self organized,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of documentation they are working,Lack of space in local schools they are working,Yes,Yes,55,330,IDPs,Yes,Yes,Adamawa,Demsa,Demsa,Accommodation by other families,,,,25%-50%,No,Yes,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Violence/Risks at the school or to/from the school,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of facilities separated by sex lack of documentation,They are working safety concerns,Yes,Yes,51,306,IDPs,Yes,Yes,Adamawa,Demsa,Demsa,Communal shelter,,,<25%,25%-50%,Yes,Yes,Self organized,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,School is damaged or destroyed,Lack of teachers,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",They are working lack of food at home and school,Lack of facilities separated by sex they are working,Yes,Yes,101,606,IDPs,Yes,Yes,Adamawa,Demsa,Demsa,Communal shelter,,,25%-50%,<25%,Yes,Yes,Self organized,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school they are working,Lack of facilities separated by sex safety concerns,Yes,Yes,115,690,IDPs,Yes,Yes,Adamawa,Demsa,Demsa,Communal shelter,,<25%,<25%,25%-50%,Yes,Yes,Self organized,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Violence/Risks at the school or to/from the school,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of documentation lack of food at home and school,Early marriage  safety concerns,Yes,Yes,114,684,Returns,Yes,Yes,Adamawa,Demsa,Demsa,Transitional shelter,,<25%,25%-50%,<25%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Lack of teachers,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of documentation they are working,Safety concerns early marriage ,Yes,Yes,346,2076,Returns,Yes,Yes,Adamawa,Demsa,Demsa,Transitional shelter,,,25%-50%,25%-50%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms not crowded,Yes,Lack of teachers,Lack of school supplies,Fear of violence,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy they are working,They are working safety concerns,Yes,Yes,57,342,IDPs,Yes,Yes,Adamawa,Demsa,Dilli,Communal shelter,,,<25%,25%-50%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school they are working,They are working safety concerns,Yes,Yes,59,354,IDPs,Yes,Yes,Adamawa,Demsa,Dilli,Communal shelter,,,25%-50%,25%-50%,Yes,Yes,Self organized,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Lack of teachers,Violence/Risks at the school or to/from the school,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school safety concerns,Lack of documentation they are working,Yes,Yes,509,3054,IDPs,Yes,Yes,Adamawa,Demsa,Dong,Communal shelter,,25%-50%,<25%,<25%,Yes,Yes,Self organized,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Fees or costs,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of documentation they are working,Early marriage  lack of facilities separated by sex,Yes,Yes,140,840,IDPs,Yes,Yes,Adamawa,Demsa,Dong,Communal shelter,,<25%,<25%,25%-50%,Yes,No,Self organized,Diarrhea,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms not crowded,Yes,Violence/Risks at the school or to/from the school,Lack of teachers,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of documentation they are working,Lack of facilities separated by sex lack of space in local schools,Yes,Yes,785,4710,Returns,Yes,Yes,Adamawa,Demsa,Dong,Transitional shelter,,25%-50%,,<25%,Yes,Yes,Self Organized,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Work in the fields,Disease/Illness,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of facilities separated by sex they are working,Lack of documentation lack of food at home and school,Yes,Yes,27,162,IDPs,Yes,Yes,Adamawa,Demsa,Dwam,Communal shelter,,,<25%,25%-50%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Lack of school supplies,Lack of teachers,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of documentation they are working,Early marriage  lack of food at home and school,Yes,Yes,32,192,IDPs,Yes,Yes,Adamawa,Demsa,Dwam,Communal shelter,,,<25%,25%-50%,Yes,Yes,Self organized,Malaria,Yes,No,No
